DataCode,DataDesc,Chat,Jess,Jess0,Label
5000,sent [chat] of [type],no,SN-D,SN,10.0
5000,sent [chat] of [type],our voltage and current to get R,SN-D,SN,10.0
4400,performed [calculation] with [result],.71/.0072,CE-E,CE,5.0
5000,sent [chat] of [type],Yeah,SN-A,SN,10.0
5000,sent [chat] of [type],it's the same thing,SN-A,SN,10.0
5000,sent [chat] of [type],I have an idea for an alternate way to solve this conundrum if you willing for a little trial and error,SSI-U,SSI,11.0
5000,sent [chat] of [type],R=V/I or V= IR,SSI-O,SSI,11.0
5000,sent [chat] of [type],May I pitch my idea?,SESU-P,SESU,1.0
5000,sent [chat] of [type],go for it,CEC-S,CEC,4.0
4400,performed [calculation] with [result],3.36/.0072,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
5000,sent [chat] of [type],"ok so we Know I need the highest voltage, Pencil need the medium and paper has the lowest voltage required correct?",SESU-P,SESU,1.0
5000,sent [chat] of [type],yeah,SN-A,SN,10.0
5000,sent [chat] of [type],so my res is going to be the lowest of the 3,CRF-F,CRF,9.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4400,performed [calculation] with [result],3.36/.0072,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
5000,sent [chat] of [type],Voltage divider rule,SSI-O,SSI,11.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
5000,sent [chat] of [type],so since paper is lowest they need the highest resistance,CRF-F,CRF,9.0
5000,sent [chat] of [type],yeah i already set mine to 470,SN-A,SN,10.0
5000,sent [chat] of [type],given earliers fiddlings ive deduced that we can't go lower than 20 DCV,CRF-F,CRF,9.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
5000,sent [chat] of [type],my answer was 466.666 and that was the closest available,SSI-O,SSI,11.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
5000,sent [chat] of [type],interesting,SESU-A,SESU,1.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
5000,sent [chat] of [type],what if I lowered my DVC to 2000m?,SESU-P,SESU,1.0
5000,sent [chat] of [type],we could experiment with the higher resistances then,CP-S,CP,8.0
5000,sent [chat] of [type],I think the DCV just changes the scale correct?,SESU-P,SESU,1.0
5000,sent [chat] of [type],like moving the decimal forward or back,SESU-A,SESU,1.0
5000,sent [chat] of [type],I don't exactly know,SSI-U,SSI,11.0
5000,sent [chat] of [type],"yes it sets to milli, kilo mega etc",SN-A,SN,10.0
5000,sent [chat] of [type],Ah,SESU-A,SESU,1.0
5000,sent [chat] of [type],The tutorial wasn't very clear and i've never seen a multi meter like this before,SSI-U,SSI,11.0
5000,sent [chat] of [type],I apologise,SMC-R,SMC,3.0
5000,sent [chat] of [type],it's cool,SMC-R,SMC,3.0
5000,sent [chat] of [type],lol,SMC-R,SMC,3.0
4400,performed [calculation] with [result],2.79/3.36,CE-E,CE,5.0
5000,sent [chat] of [type],The reason I thought it dis something was because it seems we can all affect each others answers,SSI-O,SSI,11.0
4400,performed [calculation] with [result],2.79+3.36,CE-E,CE,5.0
5000,sent [chat] of [type],"ah well, it was worth a shot",SMC-R,SMC,3.0
4400,performed [calculation] with [result],6.15+.71,CE-E,CE,5.0
4400,performed [calculation] with [result],17-6.86,CE-E,CE,5.0
4400,performed [calculation] with [result],2.79+3.36+.71,CE-E,CE,5.0
4400,performed [calculation] with [result],3.36/.0072,CE-E,CE,5.0
4400,performed [calculation] with [result],14-6.86,CE-E,CE,5.0
3500,opened zoom,,CM-G,CM,7.0
5000,sent [chat] of [type],I am currently reading 3.58 volts did we all do the  V/I,SESU-P,SESU,1.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4500,viewed [board] in zoom,1,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
5000,sent [chat] of [type],call out answers so we can see whats wrong,SESU-P,SESU,1.0
4400,performed [calculation] with [result],7.14/1000,CE-E,CE,5.0
5000,sent [chat] of [type],give me a sec,CEC-S,CEC,4.0
5000,sent [chat] of [type],I wish this was more compact so I didn't have to scroll so much,SMC-O,SMC,3.0
4400,performed [calculation] with [result],.71/.00714,CE-E,CE,5.0
5000,sent [chat] of [type],Mine is set to the closest value,SSI-O,SSI,11.0
4400,performed [calculation] with [result],14/1000,CE-E,CE,5.0
5000,sent [chat] of [type],0.71 ( my voltage) divided by the current (.00714) nets me 99.43 Ohms,SSI-O,SSI,11.0
5000,sent [chat] of [type],ok are you close to your Voltage at least,SESU-P,SESU,1.0
5000,sent [chat] of [type],The closest is 100 Ohms for me,SSI-O,SSI,11.0
4400,performed [calculation] with [result],0.014*2.05,CE-E,CE,5.0
5000,sent [chat] of [type],kinda,CMC-S,CMC,2.0
5000,sent [chat] of [type],ok,SESU-A,SESU,1.0
5000,sent [chat] of [type],0.76,SSI-O,SSI,11.0
5000,sent [chat] of [type],but supposed to be .71,SSI-O,SSI,11.0
5000,sent [chat] of [type],give me a sec I think i'm doing my math wrong,CEC-S,CEC,4.0
5000,sent [chat] of [type],word,SMC-R,SMC,3.0
4400,performed [calculation] with [result],.71/.0072,CE-E,CE,5.0
5000,sent [chat] of [type],"btw, setting the multimeter sets the voltage to its correct decimal place",SSI-T,SSI,11.0
5000,sent [chat] of [type],To 20 volts I mean,SSI-U,SSI,11.0
5000,sent [chat] of [type],"since we have 14, if that makes sense",SSI-O,SSI,11.0
5000,sent [chat] of [type],ok,SESU-A,SESU,1.0
3500,opened zoom,,CM-G,CM,7.0
5000,sent [chat] of [type],mine is kinda fluctuating from 0 now so I assume someone is changing their resistance,SSI-O,SSI,11.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
5000,sent [chat] of [type],"Yeah that's me, sorry",SN-A,SN,10.0
5000,sent [chat] of [type],did you adjust it?,SESU-P,SESU,1.0
5000,sent [chat] of [type],I'm trying to work myself backwords to see if I can make sense of it in my head,CEC-R,CEC,4.0
5000,sent [chat] of [type],where do you think you're messing up?,SESU-P,SESU,1.0
5000,sent [chat] of [type],because I know E= IxR,SSI-O,SSI,11.0
5000,sent [chat] of [type],Do you know what your resistance is supposed to be,SESU-P,SESU,1.0
5000,sent [chat] of [type],R=V/I is the formula I used but it's the same thing,CEC-R,CEC,4.0
4400,performed [calculation] with [result],.71/.0072,CE-E,CE,5.0
5000,sent [chat] of [type],and earlier you said I was 7.2 yeah?,SESU-P,SESU,1.0
4400,performed [calculation] with [result],14/7.2,CE-E,CE,5.0
5000,sent [chat] of [type],yeah roughly,SN-A,SN,10.0
5000,sent [chat] of [type],yeah.,SN-A,SN,10.0
4400,performed [calculation] with [result],7.14/1000,CE-E,CE,5.0
4400,performed [calculation] with [result],0.00714,CE-E,CE,5.0
5000,sent [chat] of [type],ok so E and R0 is 1.94 repeating,SSI-O,SSI,11.0
4400,performed [calculation] with [result],3.36/.00714,CE-E,CE,5.0
5000,sent [chat] of [type],not rounded it's like,SSI-O,SSI,11.0
5000,sent [chat] of [type],.00714 A,SSI-O,SSI,11.0
5000,sent [chat] of [type],oh,SESU-A,SESU,1.0
5000,sent [chat] of [type],also sorry im screwing this up,SMC-R,SMC,3.0
5000,sent [chat] of [type],yes but it should get you close enough to the values given to us,SN-A,SN,10.0
5000,sent [chat] of [type],ok,SESU-A,SESU,1.0
5000,sent [chat] of [type],Yeah it shouldn't really matter too much,SN-A,SN,10.0
5000,sent [chat] of [type],we're given all values after all,SSI-O,SSI,11.0
5000,sent [chat] of [type],true true,SN-A,SN,10.0
5000,sent [chat] of [type],Its fine but Pen is your r set now? i think we should just submit the answers,SESU-P,SESU,1.0
5000,sent [chat] of [type],I'm not sure,SSI-U,SSI,11.0
5000,sent [chat] of [type],"so if your goal is 2.79, your formula is 2.79/ .00714",SSI-O,SSI,11.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4400,performed [calculation] with [result],2.79/.00714,CE-E,CE,5.0
5000,sent [chat] of [type],ok,SESU-A,SESU,1.0
5000,sent [chat] of [type],I got 390.76,SSI-O,SSI,11.0
4400,performed [calculation] with [result],2.79/.00714,CE-E,CE,5.0
4400,performed [calculation] with [result],2.79/.00714,CE-E,CE,5.0
5000,sent [chat] of [type],"There's a 390, but no 391 so I guess just a 390 is fine",SSI-O,SSI,11.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
5000,sent [chat] of [type],thats fine,SESU-A,SESU,1.0
5000,sent [chat] of [type],got it,CMC-S,CMC,2.0
5000,sent [chat] of [type],Got it,CMC-S,CMC,2.0
5000,sent [chat] of [type],got it,CMC-S,CMC,2.0
6000,clicked submit,,CM-S,CM,7.0
5000,sent [chat] of [type],lets go,SMC-R,SMC,3.0
5000,sent [chat] of [type],Ok I got a hang of this now,SSI-U,SSI,11.0
5000,sent [chat] of [type],2.43,SSI-O,SSI,11.0
5000,sent [chat] of [type],So is this the same circuit,SESU-P,SESU,1.0
5000,sent [chat] of [type],.65 volts is my goal,SSI-O,SSI,11.0
5000,sent [chat] of [type],mine is 3.57V,SSI-O,SSI,11.0
4400,performed [calculation] with [result],3.57+.65+2.43,CE-E,CE,5.0
5000,sent [chat] of [type],The sum of ours is 6.65,SSI-O,SSI,11.0
4400,performed [calculation] with [result],2.43/1000,CE-E,CE,5.0
5000,sent [chat] of [type],0.00243,SSI-O,SSI,11.0
5000,sent [chat] of [type],What is that value for,SESU-P,SESU,1.0
5000,sent [chat] of [type],wait that was R0,SSI-U,SSI,11.0
5000,sent [chat] of [type],We don't have the Vs tho,SSI-O,SSI,11.0
5000,sent [chat] of [type],I just relised that,SSI-U,SSI,11.0
5000,sent [chat] of [type],Yeah this one is weird,SN-A,SN,10.0
5000,sent [chat] of [type],I accidentally used my voltage goal,SSI-U,SSI,11.0
5000,sent [chat] of [type],Onto seeion 2 then,SMC-O,SMC,3.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
3500,opened zoom,,CM-G,CM,7.0
4400,performed [calculation] with [result],4+5,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,,Null,0.0
5000,sent [chat] of [type],Hello,,Null,0.0
5000,sent [chat] of [type],hi,,Null,0.0
6000,clicked submit,,CM-S,CM,7.0
6000,clicked submit,,CM-S,CM,7.0
6000,clicked submit,,CM-S,CM,7.0
3500,opened zoom,,CM-G,CM,7.0
3500,opened zoom,,CM-G,CM,7.0
3500,opened zoom,,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,1,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,1,CM-G,CM,7.0
3500,opened zoom,,CM-G,CM,7.0
3500,opened zoom,,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CEU,CEU,6.0
4400,performed [calculation] with [result],14/390,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
5000,sent [chat] of [type],hey guy how we gonna start this problem?,SESU-P,SESU,1.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
5000,sent [chat] of [type],I don't  actually.,SSI-U,SSI,11.0
5000,sent [chat] of [type],I am currently measuring the voltage across the given resistor and adjusting the resistance,CEC-R,CEC,4.0
5000,sent [chat] of [type],As i am monitoring the voltage reading,CEC-R,CEC,4.0
5000,sent [chat] of [type],I guess i didnt pay attention to the tutorials,SSI-U,SSI,11.0
5000,sent [chat] of [type],i get negative numbers or 0.  I am lost.,SSI-O,SSI,11.0
5000,sent [chat] of [type],alright,SESU-A,SESU,1.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
5000,sent [chat] of [type],i currently have 2.0volts with a 180 ohm resistor,SSI-O,SSI,11.0
3500,opened zoom,,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
3500,opened zoom,,CM-G,CM,7.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
5000,sent [chat] of [type],"Ohio, my apologies. I just looked at your circuit. Switch the probes back. the red probe should be on the left",CEC-S,CEC,4.0
3500,opened zoom,,CM-G,CM,7.0
3500,opened zoom,,CM-G,CM,7.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r2,CE-E,CE,5.0
5000,sent [chat] of [type],"Okay, so now my voltage reading is 0 with the 180 ohm resistor",SSI-O,SSI,11.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
3500,opened zoom,,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
5000,sent [chat] of [type],Thanks,SMC-R,SMC,3.0
5000,sent [chat] of [type],this will be  easier if we had the current,SSI-O,SSI,11.0
5000,sent [chat] of [type],we just need to use the calcutor if we did.,CRF-F,CRF,9.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
3500,opened zoom,,CM-G,CM,7.0
5000,sent [chat] of [type],how about using the figures given to find the current?,SESU-P,SESU,1.0
5000,sent [chat] of [type],"Well, I am currently confused as to why I no longer have a voltage reading",SSI-U,SSI,11.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
5000,sent [chat] of [type],same here lol,SESU-A,SESU,1.0
5000,sent [chat] of [type],we only have total voltage and R0 and our assigned resistor,SSI-O,SSI,11.0
5000,sent [chat] of [type],"Oh I mean, I had an actual numerical value for voltage and no longer have a value.",SESU-A,SESU,1.0
3500,opened zoom,,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4500,viewed [board] in zoom,1,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,1,CM-G,CM,7.0
4500,viewed [board] in zoom,2,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
5000,sent [chat] of [type],I am refreshing to see if this is something on my end versus an issue with the circuit,CEC-R,CEC,4.0
5000,sent [chat] of [type],Okay. So i am still not getting a value.,SSI-O,SSI,11.0
3500,opened zoom,,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
5000,sent [chat] of [type],can we measure the current on the circuit?,SESU-P,SESU,1.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r1,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
5000,sent [chat] of [type],sure. what are the resistor values? Mine is set at 270 currently.,SN-A,SN,10.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
4000,changed [resistor] from [value] to [value] via [keypress],r3,CE-E,CE,5.0
3500,opened zoom,,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
4500,viewed [board] in zoom,3,CM-G,CM,7.0
