,Text,Label,Label2
67,.12 too high,CMC-S,5
68,o,SESU-A,10
69,Boooiiiiiii,SMC-O,13
70,GAAAAAAAAANG,SMC-O,13
71,.15 now,SSI-O,17
72,same,SESU-A,10
73,BEAR!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,CMC-G,4
74,Good old ohms law,CP-S,7
75,thats correct celery,SN-A,15
76,yep,SN-A,15
77,my voltage is 2.95 at the moment,SSI-O,17
78,k,SESU-A,10
79,Kinda,SN-A,15
80,same,SESU-A,10
81,what the corn,SMC-O,13
82,oh damn,SESU-A,10
83,is this the same group?,CMC-G,4
84,I got I = .0085454 A,SSI-O,17
85,that's our I,SESU-A,10
86,baked?,CMC-G,4
87,5.6M,SSI-O,17
88,ya we need to find our current voltage with the same resistamce,SN-A,15
89,4 drops,SSI-O,17
90,I'm getting ~378,SSI-O,17
91,red or green lock in a resistor value and let the other fiddle around utnill we get 2.75,CP-S,7
92,i tried that and it didn't work,CMC-S,5
93,I'm still at 0 now matter what I do,SSI-O,17
94,mine is 120 ohms,SSI-O,17
95,i went up one,CEC-R,1
96,7y6jn,SMC-O,13
97,wow,SMC-R,14
98,how the heck,SESU-P,11
99,try 270,CP-S,7
100,which the program tells me is correct,CMC-S,5
101,my confusion hasn't,SSI-U,19
102,nvm,SSI-U,19
103,Hey,SMC-R,14
104,do either one of you have strips or collors on your rest?,SESU-P,11
105,let's see if it works,CP-S,7
106,we have to be exactly at 2,SN-D,16
107,Since the voltage drops are all the same since the Resistance is equal,CEC-R,1
108,what voltage do you need?,SESU-P,11
109,me,SSI-O,17
110,6.67*3 is our combined drop,SSI-O,17
111,3.25 here,SSI-O,17
112,"Im at 3V, need to be at 3.6",SSI-O,17
113,im doing the math from class today. almost done,CEC-R,1
114,ok,SESU-A,10
115,add 180 to 680,CP-S,7
116,"what about 220, obviously were close..lol",SESU-P,11
117,"try to chose 1k resistor and measure it if the voltage not as your goal, change the resistor",CP-S,7
118,same,SMC-O,13
119,im at 1.68 i need 1.69,SSI-O,17
120,ok my goal is 1.06 V,SSI-O,17
121,.,SMC-O,13
122,bear go up one,CP-S,7
123,my red lead was slightly off,SSI-O,17
124,um I found the voltage for R0 and then divided it by 330,CEC-R,1
125,round up if you have to,CP-S,7
126,"it will change a bit, keep playing with the resistors",CEC-S,2
127,I'm back where I started but I'm not changing anything till I get something on paper,CEC-R,1
128,we need to calculate E,CP-G,6
129,got it,CMC-S,5
130,on2,SESU-A,10
131,mine is also 3V,SSI-O,17
132,goal is 2.5. I assume its the same for all of us,SSI-O,17
133,7.83,SSI-O,17
134,220 ohms,SSI-O,17
135,ok move on!,CP-S,7
136,on teh wires,SESU-A,10
137,My goal is also 4 volts,SSI-O,17
138,220,SSI-O,17
139,"Yeah it is, but current changes too",SN-A,15
140,I have 2.35,SSI-O,17
141,someone else should try,CP-S,7
142,i think so not sure didnt write everything from that video,SSI-U,19
143,So the current is about .013,SSI-O,17
144,i'm at 2.7 kiliohms,SSI-O,17
145,mines at 330k,SSI-O,17
146,Gucci. mine was 100,SSI-O,17
147,tkf,SMC-O,13
148,im lost in the sauce,SSI-U,19
149,mine's 2.25 volts,SSI-O,17
150,"Tiger, can you connect your wires? then we can measure our voltages",CP-S,7
151,Mine is 3.75,SSI-O,17
152,Yea I know E is the voltage,SN-A,15
153,sorry or confusion,SMC-R,14
154,ok are you pointing to the DCV thing,SESU-P,11
155,there is something we are overlooking here,SSI-U,19
156,So my target voltage is 3.75V,SSI-O,17
157,i just got the anser,SSI-U,19
158,so for this i think we need to set up a system of equations where when we change the voltage we need to calculate the total voltage and set it equal to each other and then find current,CP-S,7
159,ohms*,SESU-A,10
160,sorry,SMC-R,14
161,lion put ur resistor back to how it was b4,CEC-S,2
162,i need 3.5 V too,SSI-O,17
163,lets do this,SMC-R,14
164,3.25,SSI-O,17
165,someone unplugged a wire im getting 0 volts now,SSI-O,17
166,ok,SESU-A,10
167,im r1,SSI-O,17
168,you have to submit the battery voltage first,CP-S,7
169,Iowa and I will set to 100 and Ohio do you want to test resistors about 100?,SESU-P,11
170,I'm sorry to be forgetting things. How do I find that?,SESU-P,11
171,im no electrical engineer lol,SMC-O,13
172,maybe?,SESU-P,11
173,correct?,SESU-P,11
174,lets work from there then same as before,CP-S,7
175,hahaha,SMC-R,14
176,1.86V,SSI-O,17
177,need a change of 10 ohms or something like that,SSI-O,17
178,mine went down to 6.66,SSI-O,17
179,Mine is currently at 3.75 V,SSI-O,17
180,3.73,SSI-O,17
181,my is 4 V,SSI-O,17
182,let me know when you want me to try,CEC-S,2
183,what's everyone's resistance?,SESU-P,11
184,OHMS,SSI-O,17
185,What resistors are you guys using???,SESU-P,11
186,try 47?? hawk,CEC-S,2
187,i was wrong,SSI-U,19
188,omg,SMC-R,14
189,We should divide our voltage goal by the resistor value we have to find the current that is the same throughout the circuit. Then plug in E=IxR0 + IxR1 + IxR2 + xR3. because then we will have the same I value across the whole circuit to use,CP-S,7
190,"3,25",SSI-O,17
191,^!!!,SMC-R,14
192,should i stay at 100 ohms resistor,SESU-P,11
193,4.5 V here too,SSI-O,17
194,what the level of your resistor,SMC-O,13
195,what the level of your resistor,SESU-P,11
196,Goal 1.43V,SSI-O,17
197,hey,SMC-R,14
198,im there,CMC-S,5
199,I think the middle cursiut needs to stay at 150,CRF-F,8
200,im good,CMC-S,5
201,"don't change anything, what is your goal voltage?",SESU-P,11
202,no,SN-D,16
203,then we will all have the same voltage drop across our resistors and can find E,CP-S,7
204,yes both values are correc,SN-A,15
205,1.86 for me,SSI-O,17
206,How do we skip this,SMC-O,13
207,mines high,SSI-O,17
208,mine is at 100,SSI-O,17
209,ask him,SMC-O,13
210,im at 68,SSI-O,17
211,my goal is 9.56,SSI-O,17
212,"nope, I'm at 5.08 volts",SN-D,16
213,330,SSI-O,17
214,series amps,SSI-O,17
215,Keep messin with numbers,CP-S,7
216,p,SMC-O,13
217,V0R0 = 2R1,SSI-O,17
218,v=ir,SSI-O,17
219,red on the left,SSI-O,17
220,help,SSI-U,19
221,i changed one band color to orange which was a lower number,CEC-R,1
222,3.42*,SESU-A,10
223,half it or double it,CEC-S,2
224,802?,SESU-P,11
225,we should end up with the same currrent?,SESU-P,11
226,390,SSI-O,17
227,we only have total voltage and R0 and our assigned resistor,SSI-O,17
228,I'm guessing there is no way to change the supplied voltage??,SESU-P,11
229,ya one sec,SN-A,15
230,I cant get close,CEC-R,1
231,I got I=.005,SSI-O,17
232,right,SN-A,15
233,del v,SMC-O,13
234,goal of 0.96V,SSI-O,17
235,E=IR,SSI-O,17
236,we all have the same,SSI-O,17
237,I do :),SSI-U,19
238,hawk is here,SMC-R,14
239,the current should be the same throughout the whole circuit,CRF-R,9
240,what is your voltage reading?,SESU-P,11
241,2.54 is where im at,SSI-O,17
242,lower,CP-S,7
243,i got the resistance with the equation with the 0.0208 amps. but to find our own resistances we gotta get another one,CP-S,7
244,nope,SN-A,15
245,"wait, what's everyone's goal?",CEC-S,2
246,Ro is 270 and V is 3.87,SSI-O,17
247,"R1, what is your goal voltage again?",SESU-P,11
248,thank gosh,SMC-R,14
249,yea,SN-A,15
250,so 2 need 1 volt and one needs 1.25,SSI-O,17
251,hawk?,SESU-P,11
252,Do you know how to solve for E?,SESU-P,11
253,i am confused af lol,SSI-U,19
254,"Yeah i got a message saying that our readings are correct, it's just our E that isn't",SN-A,15
255,actually .028,SESU-A,10
256,Mine is 1.51,SSI-O,17
257,390 ohms 4.87V,SSI-O,17
258,im at 330,SSI-O,17
259,below,CMC-S,5
260,idk why that was in caps lol,SMC-O,13
261,1.02,SSI-O,17
262,"my resistance was at 180 for the last one, what were you guys at",SESU-P,11
263,3.61 now,SSI-O,17
264,I think mine is about 1k,CRF-F,8
265,nope,SN-D,16
266,Is R0 relevant,SESU-P,11
267,great alright the target voltage is 6.95V for me,SSI-O,17
268,me either,SESU-A,10
269,yeah,SN-A,15
270,i got 1.51,SSI-O,17
271,whos close,CMC-S,5
272,yes,SN-A,15
273,"so its lion, then bear, then tiger",SSI-O,17
274,lol,SMC-R,14
275,"Sorry, E = E0 + E1 + E2 + E3",SSI-U,19
276,ice,CMC-G,4
277,i went down,CEC-R,1
278,R0 VOLTAGE IS GONNA BE 2.86V,SSI-O,17
279,send your current voltage please,SESU-P,11
280,the number on the meter,SSI-O,17
281,thats a big difference,SSI-O,17
282,pie what are you at for resistance right now,CMC-G,4
283,mine says im at 0.01,SSI-O,17
284,hello,SMC-R,14
285,my voltage is 5.88,SSI-O,17
286,3.52v,SSI-O,17
287,down in resistance to increase voltage,SSI-O,17
288,Lets try 16 volts for E,CP-S,7
289,3.75 for me,SSI-O,17
290,how about I move down 1 resistor and you can run back thru,SESU-P,11
291,perfect,SMC-R,14
292,huh,SMC-R,14
293,okay so R1 has to make sure theirs works first and then R2 and then R3?,SESU-P,11
294,nvm we good,SSI-O,17
295,so I think the resistance is supposed to be 220 for all the resistors,CRF-F,8
296,goal voltage,SSI-O,17
297,okay,SESU-A,10
298,What does it say for all of you?,SESU-P,11
299,will it mess us up if I go back to the video?,SESU-P,11
300,and then the first resistance is 120,SSI-O,17
301,lets all drop to 100 ohms and see what happens,CP-S,7
302,But that needs to change for each one too,SSI-O,17
303,okay leave it there dont touch it,CEC-S,2
304,I think the DCV just changes the scale correct?,SESU-P,11
305,mines working,SSI-O,17
306,.92 now,SSI-O,17
307,rip team animals,SMC-O,13
308,damn,SMC-I,12
309,wat now,SESU-P,11
310,0.99,SSI-O,17
311,Mine's a little low now. 1.59,CMC-S,5
312,3.78v,SSI-O,17
313,yea,SN-A,15
314,"it would have to be 3, right?",SESU-P,11
315,djqwpg,SMC-O,13
316,Im there,CMC-S,5
317,"Ok, I need 2.29V now.",SSI-O,17
318,To 100,SESU-A,10
319,for the resistance of your thing,SESU-A,10
320,yep,SN-A,15
321,im on 200 avc,SSI-O,17
322,For your resistance,SESU-A,10
323,is my R not right? hollup sorry,SESU-P,11
324,i got 180,SSI-O,17
325,so  I am thinking we can do our calculation,SSI-O,17
326,ok how do you calculate voltage supplied,SESU-P,11
327,over,CMC-S,5
328,what are your resistors rated at,SESU-P,11
329,yup!,SN-A,15
330,E is the sum of all of the voltages,SSI-O,17
331,I got 3 V for mine,SSI-O,17
332,its 220 ohms,SSI-O,17
333,i have 0.19,SSI-O,17
334,we can tell eachother our current resistor values and voltage drops and we can combine that with R0 to find E,CP-S,7
335,haha,SMC-R,14
336,how close is everyone to their goal?,SESU-P,11
337,2......,SMC-O,13
338,dont mess w anything yet,CEC-S,2
339,try 680 lol,CP-S,7
340,Im at 1k ohms with 4.96V,SSI-O,17
341,ima do it and let me know,CEC-R,1
342,im at 2.7 now,SSI-O,17
343,All of guys try 220,CP-S,7
344,1.33 v,SSI-O,17
345,so doing that you are finding voltage over R0 right?,SESU-P,11
346,at 9.89,SSI-O,17
347,aye everyone has their values,SSI-O,17
348,Mine says 2.36,SSI-O,17
349,got it,CMC-S,5
350,same,SESU-A,10
351,"perfect, i think we all met our goal!",CMC-S,5
352,I'm at 330,SSI-O,17
353,Did someone change somethin? My resistor is now 180 ohms,SESU-P,11
354,we need E,CP-G,6
355,im now at 3.93,SSI-O,17
356,"Green, are you at 2.71 right now?",SESU-P,11
357,did someone change their resistance?,SESU-P,11
358,i need 1.5,SSI-O,17
359,our combined is 5.46,SSI-O,17
360,submitted,CMC-S,5
361,im low by .3,CMC-S,5
362,my next lowest is 120,SSI-O,17
363,you guys having any luck?,SESU-P,11
364,maybe if we have the same one it will work,CRF-F,8
365,330?? and 4 v,SSI-O,17
366,i'm not sure,SSI-U,19
367,set it for 56,CEC-S,2
368,I moved mine up to 560,CEC-R,1
369,did you just play with it until it worked?,SESU-P,11
370,circuit one go down one,CEC-S,2
371,volts*,SESU-A,10
372,it was probably wrong,SN-A,15
373,I have my goal,CMC-S,5
374,K so we all hav the same one try 1.8k,CP-S,7
375,r3 try something around 330 ohm,CEC-S,2
376,im using 1.2k,SSI-O,17
377,should be .075 as you said,SN-A,15
378,0.53,SSI-O,17
379,bye,SMC-R,14
380,2.5,CMC-S,5
381,"E is unknown, R0 = 560 ƒ??, your goal is to make your voltage 2.38 volts.",SSI-O,17
382,my target voltage is 2.5 V,SSI-O,17
383,yeah,SN-A,15
384,from here use goal voltages to find your R,CP-S,7
385,1.26,SSI-O,17
386,is it across the resistor?,SESU-P,11
387,i rounded a few decimal places for reference,CEC-R,1
388,0.15,SSI-O,17
389,so I need to be .423 of the Resistance,SSI-O,17
390,too much,CMC-S,5
391,Ok. it changed mine too but not target goal,CEC-R,1
392,This very second,SSI-O,17
393,mine is 8,SSI-O,17
394,what is everyones resistance?,SESU-P,11
395,1.62 with a 390 ohm resistor,SSI-O,17
396,Was your voltage exactly 3?,SESU-P,11
397,increase yours tiger,CEC-S,2
398,ok everyone to 470 then,CP-S,7
399,that's why you had to set up a user name,SMC-O,13
400,mine is 0.027125,SSI-O,17
401,"Lets let Hawk gets theirs right first, and we can move down the circut",CP-S,7
402,But its the total voltage that needs to be calculated,CP-G,6
403,im on 470,SSI-O,17
404,now i read 2.33,SSI-O,17
405,e=IR,SSI-O,17
406,I use 270,CEC-R,1
407,green try going to 270 ohm,CEC-S,2
408,lets just all try 120,CP-S,7
409,what are you at ice cream,CMC-G,4
410,shall we all try what we get with ohm's law and see if it works?,SESU-P,11
411,i=.011899,SSI-O,17
412,2.37 now,SSI-O,17
413,did it,CEC-R,1
414,red you see it?,SESU-P,11
415,i'm at 100 Ohms right now. everyone else?,SESU-P,11
416,e=14 v R0= 560 ohms R3=56 Ohms,SSI-O,17
417,how do we do this,SESU-P,11
418,so we all need to change our resistor value to 560 ohm?,SESU-P,11
419,1.31*120,SSI-O,17
420,1.31*120,SMC-O,13
421,"I', gettig 1.81",SSI-O,17
422,They should put formula on the top,SMC-O,13
423,im at 1000,SSI-O,17
424,okay so use .11 for the current?,SESU-P,11
425,my goal is 7.15 but im at 7.30,CMC-S,5
426,ohio start,CEC-S,2
427,rain can you move you resistance around?,CEC-S,2
428,Ok so our resistance will all be the same,CRF-R,9
429,so now what,SESU-P,11
430,got mine,CMC-S,5
431,think so,SN-A,15
432,i did too,SESU-A,10
433,im so sorry i cucked us,SMC-I,12
434,hawk don't do anything,CEC-S,2
435,who is r1,SESU-P,11
436,Each resistor affects the others so do we need to coordinate and pick ones at the same time,CP-S,7
437,We have to adjust our resistance so that the current increases,CP-S,7
438,easier to add,SSI-O,17
439,someone try going up see if that works,CP-S,7
440,Did everyone change to 270?,SESU-P,11
441,20,SSI-O,17
442,lion?,CMC-G,4
443,so v0 has to be 1.15,SSI-O,17
444,1.07,SSI-O,17
445,its the same problem,CRF-R,9
446,everyoe set to 1k,CP-S,7
447,please!,SMC-R,14
448,everyone to 100 ohms again?,CP-S,7
449,it keeps changing,SSI-O,17
450,ok,SESU-A,10
451,i got my voltage,CMC-S,5
452,3.06,SSI-O,17
453,i typed 17 V,CEC-R,1
454,.08 high,CMC-S,5
455,yea what value do u have on the resistor,SN-A,15
456,so divide your v by .15,CP-S,7
457,Hey,SMC-R,14
458,we have to find a way to express r0 in terms of the values we do have,CP-G,6
459,I think that all of us,CRF-F,8
460,im confused as heck,SSI-U,19
461,0,SSI-O,17
462,you resistor in the middle,SSI-T,18
463,At least we tried.,SMC-R,14
464,RIP your calculator,SMC-O,13
465,sweet lets do it,SMC-R,14
466,im at 10 ohms but my voltage is -0.11,SSI-O,17
467,Don't forget the R0 value too!,SSI-O,17
468,all of them,CMC-S,5
469,yup,SN-A,15
470,so 1.13v is R0,SSI-O,17
471,register as 680,CP-S,7
472,"ok, everyone set resistance to 100",CP-S,7
473,okay so maybe we set up a particular resistance like we all take 1k resuistors,SESU-P,11
474,currently 1k ohms at 9.83,SSI-O,17
475,RIGHT?,SESU-P,11
476,I think one person should do the calculations and tell the rest what to do so we aren't switching it on eachother. What do you think?,CP-S,7
477,im at 1.97 V,SSI-O,17
478,I'm not sure what to plug in,SSI-U,19
479,increase by one level,CP-S,7
480,how do i calculate the current in thihs?,SESU-P,11
481,me too,SESU-A,10
482,MY V KEEPS CHANGING,SSI-O,17
483,what volts does it ask you for?,SESU-P,11
484,im now at 3.18,SSI-O,17
485,no,SN-D,16
486,stop,CEC-S,2
487,For R1,SESU-A,10
488,aight i think i got mine,SSI-O,17
489,how clsoe are Y'all,SESU-P,11
490,meter,SESU-A,10
491,I'll just multiply it by 4,CEC-R,1
492,East,SESU-A,10
493,got it everyone,SESU-P,11
494,mines at 2.01,SSI-O,17
495,2.72 is my goal,SSI-O,17
496,sadly....,SMC-R,14
497,"we control r1, 2 and 3",SSI-O,17
498,got mine,CMC-S,5
499,im on!!,CMC-S,5
500,or IxR?,SESU-P,11
501,yes,SN-A,15
502,Increase it to 390,CEC-S,2
503,aw wait,CEC-S,2
504,alrite i have 2.09,SSI-O,17
505,guessed 10v,CRF-F,8
506,what's eveyones ohm at?,SESU-P,11
507,"okay, let me try some things",CEC-R,1
508,Yeah,SN-A,15
509,Did you now,SESU-P,11
510,6.67 mA current,SSI-O,17
511,it was like .00780487 or something,SSI-O,17
512,150,SSI-O,17
513,so circut 2 adjust the resistor till you get 4 on the multimeter and then circut 3 adjust till you get 4 on the multimeter i think,CP-S,7
514,I'm a little confuse with finding the voltage,SSI-U,19
515,p,SMC-O,13
516,3.9M but way 1V off,CMC-S,5
517,Mine is 2 V,SSI-O,17
518,4.03,SSI-O,17
519,and up our resistor values,CP-S,7
520,i can see it if you click on view all circuits at the top,SSI-T,18
521,just press the we got it once you do it,CMC-S,5
522,2.53 v and 270 ohm on 1,SSI-O,17
523,rip,SMC-O,13
524,maybe I should increase mine,SSI-O,17
525,3.1,SSI-O,17
526,ok so what if we all made our resistors 680,SESU-P,11
527,yeah,SN-A,15
528,we have to add all of them up,CRF-F,8
529,pot what's your resistor set to?,SESU-P,11
530,"the dmm should be set to 20, right?",SESU-P,11
531,600,SSI-O,17
532,0.71,SSI-O,17
533,3,SSI-O,17
534,mine should be around 290,CRF-F,8
535,1.2,SSI-O,17
536,check,SESU-A,10
537,wait what,SESU-P,11
538,mines .3 high now,CMC-S,5
539,2.15,SSI-O,17
540,This is impossible to do on a phone,SMC-O,13
541,quit,SMC-O,13
542,Is that the answer,SESU-P,11
543,1.23 jk,SSI-O,17
544,yes,SN-A,15
545,15 volts here,SSI-O,17
546,120 with .74V,SSI-O,17
547,total voltage shouldn't change,SN-D,16
548,i,SMC-O,13
549,I need 2.74V now,SSI-O,17
550,volts?,SESU-P,11
551,me too,SESU-A,10
552,1000,SSI-O,17
553,what is your E value?,SESU-P,11
554,throw ur leads on resistor,CP-S,7
555,mine says 4.43 right now,SSI-O,17
556,mine is 390,SSI-O,17
557,mashed what is the formula to figure out what the split resistance over each should be? do you known,SESU-P,11
558,i'm back at 820,SSI-O,17
559,huh....,SESU-A,10
560,120 ohms,SSI-O,17
561,alright ready,SMC-O,13
562,"same, do we put in the E to start off with or are we trying to figure that out?",SESU-P,11
563,TRUE,SN-A,15
564,but we can't change r0,SN-D,16
565,If we break the connection and just hook the multimeters in series shouldn't that be the current for just R0?,SESU-P,11
566,thanks,SMC-R,14
567,"it should by like 560,680 or 820",CRF-F,8
568,??,SESU-P,11
569,is everyone's resistor at 10 ohms?,SESU-P,11
570,that what we were trying earlier. we should be able to calculate R0's v because amps should be the same throughout the circuit,CRF-F,8
571,Mine's 1.2,SSI-O,17
572,1.56,SSI-O,17
573,why can't we move forward?,SMC-O,13
574,im at 270 with 2.72,SSI-O,17
575,2.15,SSI-O,17
576,im at 1.69,SSI-O,17
577,mines at 11,SSI-O,17
578,i dont know what it wants us to do,SSI-U,19
579,Iowa got 128.7 ohm,SSI-O,17
580,one,SSI-O,17
581,I set the the nob on 20 DCV and i have 4.18,CEC-R,1
582,I think it should be 17 V,CRF-F,8
583,Wrong variable,SSI-U,19
584,nah nvm wrong number,SSI-U,19
585,0.86,SSI-O,17
586,did you guys get a total of 1630 ohms?,SESU-P,11
587,at 1000,SESU-A,10
588,im at my goal,CMC-S,5
589,do you know what numbers we could plug in for a fomrula,SESU-P,11
590,1.89,SSI-O,17
591,im at 7.66,SSI-O,17
592,I=.013A OR 13mA,SSI-O,17
593,ok,SESU-A,10
594,your goal,SSI-O,17
595,Yep lol Dog you're right next to me I just saw my chat pop on on your screen,SN-A,15
596,RT = 617,SSI-O,17
597,ill stay put,CEC-R,1
598,oh,SESU-A,10
599,Peach you need 330,SSI-O,17
600,so then 390*0.012083=4.71237,SSI-O,17
601,im at 3.14,SSI-O,17
602,im at 120,SSI-O,17
603,i went down,SSI-O,17
604,HOW THE HELL WE SUPPOSED TO FIND R 0,SESU-P,11
605,bear please just click on the pin to plug it in,CEC-S,2
606,any suggestions?,SESU-P,11
607,same,SESU-A,10
608,im .02 too high,CMC-S,5
609,what is everyone's e and r0,SESU-P,11
610,i am,SESU-A,10
611,Everyone just try to play around and make your thing read 170 A,CP-S,7
612,lets go for 680k ohms,CP-S,7
613,same here lol,SESU-A,10
614,thees is a deesaster,SMC-O,13
615,interesting,SESU-A,10
616,i'm at 1.37 :/,CE-E,0
617,got it!,CMC-S,5
618,we have to get to our goal voltage now,CP-G,6
619,mine unplugged ut its good now,SSI-O,17
620,to 390,CEC-S,2
621,and I need 2.81,SSI-O,17
622,Oh i forgot about R0,SSI-O,17
623,onward to the next page,SMC-O,13
624,Mine is at 1.08,SSI-O,17
625,by .0128,CP-S,7
1625,by .0128,CP-S,7
626,i think we just need to find a common resistor for each of the 3 places but im not entirely sure how to get there,CRF-F,8
627,"since R0 is 1000 Ohms and all our resistors are the same value, all our resistors are 1000 Ohms",SSI-O,17
628,hmmm,SESU-A,10
629,im R1,SSI-O,17
630,so that means the leftover 2.75 has to be dropping over R0 as well,SSI-O,17
631,Why cant you change it,SMC-O,13
632,2.75,SESU-A,10
634,i,SMC-O,13
635,we there yet?,CMC-S,5
636,im at 1.62V,SSI-O,17
637,aaaaaaaaaaaaay,SMC-O,13
638,Let's get this bread!,SMC-R,14
639,theres no 200,SSI-O,17
640,same,SESU-A,10
641,okay lets use our ohms law knowledge to figure this out,CP-S,7
642,good one,SMC-R,14
643,1.52+.69+6.91+n=9.12+n,SSI-O,17
644,mine said 12 was correct,CMC-S,5
645,i think you pull out the first lead from the circuit and connect the meter into that break,CP-S,7
646,same,SESU-A,10
647,1000,SSI-O,17
648,no bc total resistance is just added up between the three resistors,SN-D,16
649,nope,SN-D,16
650,bet,SESU-A,10
651,but thatll just give 4000,SN-D,16
652,180,SSI-O,17
653,we can try it,CP-S,7
654,hes checking his notes,SSI-O,17
655,i'm at 2.6 and 220,SSI-O,17
656,horn now just keep changing your resistance until you get to 4.25 V. It might work,CEC-R,1
657,Same,SESU-A,10
658,TigER,CMC-G,4
659,if so why?,SESU-P,11
660,im going to 140. that was my too high,CEC-R,1
661,Okay Grape i understand now,SSI-U,19
662,"Then R2, then R3 has the smaller resistance",SSI-O,17
663,V=Ir1+ir2+ir3,SSI-O,17
664,I think we're onto something,SSI-U,19
665,same,SESU-A,10
666,we should all have the same current,CRF-R,9
667,Upping your resistance decreases your voltage.,CRF-F,8
668,are we supposed to get an E value first?,SESU-P,11
669,yep,SN-A,15
670,I = 0.006,SSI-O,17
671,click on resistor and change the value if you want to,CP-S,7
672,3.97,SSI-O,17
673,The current is the same acrossed all the resistors when theyre in series,CRF-R,9
674,ya,SN-A,15
675,as the total current for the series circut,SESU-A,10
676,sigh,SMC-R,14
677,it's the same thing,SN-A,15
678,yes,SN-A,15
679,im at 3.09 again,SSI-O,17
680,5y3.y5,SMC-O,13
681,It didn,SSI-O,17
682,So 117.65/3 = 39.2 per resistor?,SESU-P,11
683,I get up to 4.77 volts,SSI-O,17
684,i did that,CEC-R,1
685,ok so the voltage drop from resistor 0 is,SSI-O,17
686,i think i got it,CMC-S,5
687,Everyones is 220 ohms,SSI-O,17
688,any ideas?,SESU-P,11
689,2.14,SSI-O,17
690,hmmm ok then sorry,SESU-A,10
691,what is the goal,SESU-P,11
692,ah,SESU-A,10
693,i am very upset,SMC-O,13
694,yiy,SMC-O,13
695,I fixed it,CEC-R,1
696,so our goal v/0.006 ma?,SESU-P,11
697,goal is 3.87,SSI-O,17
698,hahahaha same forreal,SESU-A,10
699,Bet,SESU-A,10
700,which is 0.154,SSI-O,17
701,how did you find that?,SESU-P,11
702,i will go 470,CEC-R,1
703,now 4.82,SSI-O,17
704,ik right,SESU-A,10
705,same,SESU-A,10
706,should be on DCV 20,SSI-O,17
707,Yeah I got no freakin clue as of yet,SSI-U,19
708,any other ideas,SESU-P,11
709,v=ir i guess,SSI-O,17
710,easy peasy,SMC-O,13
711,"Yeah, I got the same thing",SN-A,15
712,teamwork.,SMC-R,14
713,resistor,SSI-O,17
714,right?,SESU-P,11
715,Okay,SESU-A,10
716,do we have to be under 100omhs,SESU-P,11
717,would you find your R,CP-S,7
718,that would explain it,SESU-A,10
719,is everyone using DCV 20?,SESU-P,11
720,what do yo uguys get if you guys put those numbers in there?,SESU-P,11
721,thats the current,SSI-O,17
722,not .22,SN-D,16
