DataCode,Data01,Jess
5000,okay so now i need to try to get my goal,CEC-R
5000,1 sec I going to try to adjust mine I will try 270 then 390,CEC-R
5000,I changed mine to 120 ohms and I'm close to 1.18 V: 1.12,CEC-R
5000,okay let me try changing my resistance,CEC-R
5000,ok I bump mine to 1k and really high now,CEC-R
5000,Okay let me bump mine up,CEC-R
5000,I need to raise mine,CEC-R
5000,I was doing r/v=i which got me mixed up,CEC-R
5000,That was me cuz i needed to to measure current. Our current is 10.18 millAmps,CEC-R
5000,I tried: total R x I,CEC-R
5000,okay stay there. next i'll increase mine,CEC-R
5000,"just dropped to .77, let me try some others now",CEC-R
5000,ok i changed to 560,CEC-R
5000,i figured I based on my resistor and then calculated v on R0 using that.,CEC-R
5000,i just plugged it back in,CEC-R
5000,I calculated my resistance to be 390 ohms,CEC-R
5000,I've connected mine,CEC-R
5000,I'm doing the example he gave in class with 7R and 220 ohms etc,CEC-R
5000,i changed the resistance to 180 Ohms on mine... dont know if yours is the same though,CEC-R
5000,i changed mine to 560 ohms and now read 7.21 volts,CEC-R
5000,I already did that several times. either way I go . Im too high or too low,CEC-R
5000,I went low.,CEC-R
5000,Ok. it changed mine too but not target goal,CEC-R
5000,im going to 140. that was my too high,CEC-R
5000,im doing the math from class today. almost done,CEC-R
5000,okay so now i will try to change mine and see if yours changes to closer or further,CEC-R
5000,im changing now to 220,CEC-R
5000,i was trying to figure out how to arrange the resistors in my drowing,CEC-R
5000,"give me a sec, ill calculate",CEC-R
5000,I calculated the current for R1 to be 17.6mA,CEC-R
5000,i used a 180 ohm resistor,CEC-R
5000,that is what I calculated it should be around,CEC-R
5000,i did 12- all of the other voltage drops we need,CEC-R
5000,then divide that by 680,CEC-R
5000,i changed mine to 100,CEC-R
5000,It wont let me,CEC-R
5000,I might've miss typed into the calc,CEC-R
5000,I just added all those numbers together,CEC-R
5000,I just added them...,CEC-R
5000,doing that...,CEC-R
5000,i entered 17v,CEC-R
5000,i set my resistance to 150,CEC-R
5000,i did,CEC-R
5000,lol so i just stay,CEC-R
5000,i need to lower my resistance and plum needs to increase resistance,CEC-R
5000,um I found the voltage for R0 and then divided it by 330,CEC-R
5000,Thats how i found the voltage^^,CEC-R
5000,done,CEC-R
5000,done,CEC-R
5000,I entered the value for E,CEC-R
5000,i did,CEC-R
5000,ok i did 17-(3.76+2.09+9.48),CEC-R
5000,i put it on the two wires and I'm at 2.62,CEC-R
5000,i just disconnected mine,CEC-R
5000,and put the reader on the two wires,CEC-R
5000,done,CEC-R
5000,i chose 330,CEC-R
5000,i'll do it real quick,CEC-R
5000,done,CEC-R
5000,done,CEC-R
5000,I fixed it,CEC-R
5000,my bad i was just checking the current with the meter,CEC-R
5000,alright i set mine to 470,CEC-R
5000,"i set the resistance of mine to an arbirarily high value, so the other resistances will be insignificant",CEC-R
5000,did that,CEC-R
5000,i changed one band color to orange which was a lower number,CEC-R
5000,ill go firsy,CEC-R
5000,ok so me and dog move ohms down a bit,CEC-R
5000,"it reset foe me, ill fix it",CEC-R
5000,i can try changing mine,CEC-R
5000,i left our RO,CEC-R
5000,i just moved mine up and now im at 4.29,CEC-R
5000,I haven't changed mine but now I'm at 1.38,CEC-R
5000,here ill try,CEC-R
5000,i can try going down one,CEC-R
5000,i'll try,CEC-R
5000,I went down to 120  ohms did that do anything,CEC-R
5000,I went down to 1.49,CEC-R
5000,ill do it,CEC-R
5000,i went down one and now im at 3.95,CEC-R
5000,same i clicked through the resistors to find one close to my goal but theres not one exact,CEC-R
5000,that im changing the value of,CEC-R
5000,let me change resistance,CEC-R
5000,this is the closest i can get,CEC-R
5000,let me do it again,CEC-R
5000,i have  gone to a diifferent number to see if you lot can increase mine,CEC-R
5000,im about to change,CEC-R
5000,i changed my resistor to 270ohm,CEC-R
5000,i increase mine to 470 and got a whole lot closer,CEC-R
5000,increased my resistor,CEC-R
5000,went back,CEC-R
5000,gimmie a sec,CEC-R
5000,dont ask me how was just messin around,CEC-R
5000,i typed 17.47,CEC-R
5000,i typed 17 V,CEC-R
5000,idk what is right value but i am just trying to calculate it so that we have rough value,CEC-R
5000,ight i went up one,CEC-R
5000,I dont want to keep chanigng it if it's going to change others,CEC-R
5000,I've been trying different numbers,CEC-R
5000,Yeah i went up one when you went down,CEC-R
5000,Ok I'm gonna give this a shot,CEC-R
5000,i was adding 330 + my circuit + circuit 2 + circuit 3 for the total resistance,CEC-R
5000,let me decrease mine,CEC-R
5000,done,CEC-R
5000,done,CEC-R
5000,And I'll set it to 270,CEC-R
5000,done,CEC-R
5000,done my meter says 3.09,CEC-R
5000,I disconnected my resistor from the board,CEC-R
5000,no longer moving stuff,CEC-R
5000,done,CEC-R
5000,don,CEC-R
5000,I need to go higher,CEC-R
5000,Let me see.,CEC-R
5000,done,CEC-R
5000,Increased to 180 ohms and im sitting at 3.61V,CEC-R
5000,I havent changed a thing,CEC-R
5000,ah was left clicking,CEC-R
5000,I literally did nothing for a solid 5 minutes,CEC-R
5000,let me see if i can do addition,CEC-R
5000,ill drop mine one down,CEC-R
5000,im dropping,CEC-R
5000,i went down so maybe go down with yours,CEC-R
5000,try going up and well go down,CEC-R
5000,i refreshed by accident,CEC-R
5000,OK IM GONNA DECREASE MINE,CEC-R
5000,im at 2.77 goin to 1.77,CEC-R
5000,LET ME CHANGE MINE A LITTLE,CEC-R
5000,cant go any higher,CEC-R
5000,GONNA CHANGE MINE,CEC-R
5000,i am,CEC-R
5000,i am,CEC-R
5000,im set,CEC-R
5000,im going first,CEC-R
5000,changed mine to 1k,CEC-R
5000,just did,CEC-R
5000,im good,CEC-R
5000,there,CEC-R
5000,just typing it,CEC-R
5000,your lost i cant do shit,CEC-R
5000,ive been trying the whole time and i cant get it to change,CEC-R
5000,trying to calculate this shit,CEC-R
5000,mines changed,CEC-R
5000,i lowered mine to 120 cuz i was getting too hot,CEC-R
5000,ok im going now,CEC-R
5000,let me get some readings and ill do some math,CEC-R
5000,ok ill try,CEC-R
5000,i changed to 630r and im at 4.39 now,CEC-R
5000,im gonna try the math,CEC-R
5000,can you get any closer right now i just lowered my resistance,CEC-R
5000,i opened the circuit,CEC-R
5000,to measure current,CEC-R
5000,closed again,CEC-R
5000,ok ill adjust mine,CEC-R
5000,ok plum adjust yours again,CEC-R
5000,ok ill go again,CEC-R
5000,let me try adjusting,CEC-R
5000,ill try one more time,CEC-R
5000,it brought mine to 4 something so i adjusted down one,CEC-R
5000,im good,CEC-R
5000,"so u guys can talk, ill just keep sending my value",CEC-R
5000,ok ill try,CEC-R
5000,ok ill try now,CEC-R
5000,Got it i think. I just changed the resistor,CEC-R
5000,i will change the resistor,CEC-R
5000,ill take 680,CEC-R
5000,thats what i have selected,CEC-R
5000,Ima stay at 120,CEC-R
5000,I moved upi to 150 and now im at 1.01 voly,CEC-R
5000,I just switched the meter to amps,CEC-R
5000,im going to 470,CEC-R
5000,Because I took out my resistor and it read 15 volts,CEC-R
5000,I'm leaving at 1k,CEC-R
5000,Dropping mine from 560,CEC-R
5000,I'll bump mine down one,CEC-R
5000,i bump it up to 330 now,CEC-R
5000,Bumping mine up one,CEC-R
5000,i bump one down now,CEC-R
5000,Bumping up,CEC-R
5000,dropping to 8xxohm,CEC-R
5000,Bumping down to 680,CEC-R
5000,bumping back up,CEC-R
5000,let me calculate,CEC-R
5000,I did 3.78v/.0054870 and got 688.801Ohm,CEC-R
5000,I did 3.97v (what the multimeter shows rn) divided by 390ohm (what the thing on the breadboard is rn),CEC-R
5000,then divided my target voltage by .009718,CEC-R
5000,moving mine from 390 to 330 puts me at 3.4,CEC-R
5000,recalculated my current and it says my R should be 381ohm now,CEC-R
5000,I'll go down one,CEC-R
5000,I gotta go up,CEC-R
5000,I didn't change,CEC-R
5000,Gonna do 390,CEC-R
5000,just did,CEC-R
5000,im at 3.1 after i went up to 330ohms,CEC-R
5000,dropping to 270 puts me back at 3.32,CEC-R
5000,sorry i am calculating,CEC-R
5000,let me calculate,CEC-R
5000,I'm going back to 150,CEC-R
5000,I'll just multiply it by 4,CEC-R
5000,i rounded a few decimal places for reference,CEC-R
5000,ok i'm locked in,CEC-R
5000,well i tried a bunch of the usual; values for e and none worked,CEC-R
5000,Set,CEC-R
5000,done,CEC-R
5000,okay im going to put my resistor up a notch,CEC-R
5000,so let me put it at 270,CEC-R
5000,done,CEC-R
5000,i just went down from 220 to 180 and  our  voltage went down to 3.09,CEC-R
5000,ill drop,CEC-R
5000,i just dropped  to 150 and the voltmeter went to 2.95,CEC-R
5000,so maynard and I have to increase  our r,CEC-R
5000,just went to 220 and i am at 3.38,CEC-R
5000,ok let me try again,CEC-R
5000,ok just did that. my voltmeter now reads 7.50,CEC-R
4400,2.81/.0104,CEC-R
5000,set at 270,CEC-R
5000,i entered it,CEC-R
5000,i just set mine to max resistance and got 2.99,CEC-R
5000,I just changed to 390 ohm,CEC-R
5000,Am,CEC-R
5000,changed mine,CEC-R
5000,okay. let me change mine,CEC-R
5000,done,CEC-R
5000,i went down 1 and i'm at 3.5,CEC-R
5000,im gonna go down one,CEC-R
5000,im gonna do one more,CEC-R
5000,done and 4.18,CEC-R
5000,im going down 1,CEC-R
5000,jk moving up 2,CEC-R
5000,im gonna up 1,CEC-R
5000,i went to 4.61 and then 4.88,CEC-R
5000,done,CEC-R
5000,i went up one and i'm reading 4.67,CEC-R
5000,i'll go down,CEC-R
5000,let me go up one more,CEC-R
5000,done,CEC-R
5000,i'll go up,CEC-R
5000,went up 2 and i'm reading 5.47,CEC-R
5000,i'm going down 1,CEC-R
5000,done. i'm at 4.46,CEC-R
5000,ill try going down i guess,CEC-R
5000,done 4.28,CEC-R
5000,i just increased to 120,CEC-R
5000,i dropped to 1.63V,CEC-R
5000,"k, I changed my resistance to 270 and now I'm at 2.93",CEC-R
5000,done,CEC-R
5000,am done,CEC-R
5000,done,CEC-R
5000,let me do that ok,CEC-R
5000,i just tried 820 and it worked,CEC-R
5000,LET ME TRY FIRST,CEC-R
5000,waiting,CEC-R
5000,okay done,CEC-R
5000,Put mine on 120,CEC-R
5000,let me try one more think,CEC-R
5000,sorry i was trying to make a formula,CEC-R
5000,alright im going to go down one notch,CEC-R
5000,"it is, now its 3.09, gonna up it a bit",CEC-R
5000,so blue's needs to go up. Green and i need to go down,CEC-R
5000,ok i moved to 470 ohms,CEC-R
5000,going down one more,CEC-R
5000,bouta go down one more,CEC-R
5000,So mine increased to 3.27,CEC-R
5000,im going to try to increase my by one to see what happens,CEC-R
5000,"ok, so you guys need to go up, i need to go down",CEC-R
5000,let me move mine,CEC-R
5000,i moved mine up one,CEC-R
5000,i moved mine up,CEC-R
5000,let me move mine real quick,CEC-R
5000,ill go up one more,CEC-R
5000,moved me down,CEC-R
5000,im going up one,CEC-R
5000,im going up one,CEC-R
5000,i went up,CEC-R
5000,moved up one,CEC-R
5000,ill move up one now,CEC-R
5000,im gonna try up 1,CEC-R
5000,done,CEC-R
5000,i went up one,CEC-R
5000,i went down,CEC-R
5000,ok i went down to 2.47,CEC-R
5000,ok going up,CEC-R
5000,i went up one,CEC-R
5000,i went up 2,CEC-R
5000,i went up,CEC-R
5000,i went up,CEC-R
5000,went back,CEC-R
5000,imma go down one,CEC-R
5000,ok so if i go down one you should go up,CEC-R
5000,i went up,CEC-R
5000,i went up one,CEC-R
5000,ill go down one,CEC-R
5000,hold on guys im doing the quick maths,CEC-R
5000,I cant get close to 4.01,CEC-R
5000,I can't change my resistor,CEC-R
5000,I cant get close,CEC-R
5000,keep yours the same. im going to go up one and down one,CEC-R
5000,okay im going to move mine down towards 5.71. hang on,CEC-R
5000,i am connected... just seeing what we go up to,CEC-R
5000,im trying somemath here,CEC-R
5000,mine wont move from zero,CEC-R
5000,I'll see if moving mine will help. I'm at 470,CEC-R
5000,I put mine on 390,CEC-R
5000,I went to 390,CEC-R
5000,i will go 470,CEC-R
5000,changing one level up,CEC-R
5000,i will try moving mine,CEC-R
5000,ill go 390,CEC-R
5000,I just went o 470,CEC-R
5000,went back to 470,CEC-R
5000,I moved mine up to 560,CEC-R
5000,done,CEC-R
5000,done,CEC-R
5000,okat imma move mine up and see what happens cause im at 1.5,CEC-R
5000,"i havent ,essed with mine im at 4.1 A and 1.8k",CEC-R
5000,im leaving my resistance at 82. someone else leave theirs,CEC-R
5000,i will leave mine at the same resistance,CEC-R
5000,increase your resistance and us other two will adjust,CEC-R
5000,I keep putting in,CEC-R
5000,just changed mine to 680,CEC-R
5000,just did,CEC-R
5000,just did at 680 with 4.29,CEC-R
5000,one sec ill adjust mine,CEC-R
5000,i did 560 and got a voltage of 3,CEC-R
5000,I set mine ot 330,CEC-R
5000,Now 1.31 V but I did not change anything,CEC-R
5000,I made mine 330 also,CEC-R
5000,I'm summing up voltages now,CEC-R
5000,I haven't changed anything yet so its' definitely me,CEC-R
5000,I'm back where I started but I'm not changing anything till I get something on paper,CEC-R
5000,i did and i still get nothing,CEC-R
5000,I disconnected my resistor,CEC-R
5000,didn't take leads out,CEC-R
5000,i did,CEC-R
5000,mine said 11.3 mA but now it says 0 and i didnt change anything,CEC-R
5000,ive been doing that,CEC-R
5000,But I just switched it to read voltage and its still at 0,CEC-R
5000,i put my resistor at 100 just now,CEC-R
5000,okay I'm changing my resistor from 680 to 270 so i can get closer to my goal,CEC-R
5000,mine is higher now too. sleet keep yours the same. i'm gonna reduce my R by a little bit,CEC-R
5000,i did that,CEC-R
5000,let me try 680,CEC-R
5000,i did and it says 3.24,CEC-R
5000,I have no clue whats going on im just putting different resistances and hoping i get 7.16,CEC-R
5000,"i did that too, not sure what to do with the number though",CEC-R
5000,i need to go down,CEC-R
5000,"at one point i had 1.05 with 27, so im going to leave mine",CEC-R
5000,i hooked mine up and it says 4.34,CEC-R
5000,i tried entering 14 and it was wrong,CEC-R
5000,and i went down to 4.5,CEC-R
5000,i did and im currently at .81,CEC-R
5000,i just entered in my E starting from 1,CEC-R
5000,I will,CEC-R
5000,Has anyone found a value for I? Using E=IR I got I is 0.0255.,CEC-R
5000,I selected the resistance given to me on the dropdown list but I'm getting 3.13V,CEC-R
5000,I set my resistance to 39 ohms.,CEC-R
5000,I was trying to think about the math...,CEC-R
5000,me and hawk will chill until you get 2.5 V,CEC-R
5000,okay. I'm gonna go up 1 level from where I am now,CEC-R
5000,i went up to 120 ohms and 1.26 V,CEC-R
5000,okay I went up a lot all the way to 270 ohms,CEC-R
5000,i went down to 2.05 so I'm gonna go up 1 or two clicks,CEC-R
5000,okay I did,CEC-R
5000,i'm gonna go up one,CEC-R
5000,i went up one and im now at 2.5,CEC-R
5000,"I changed mine so im at 7.5 right now, change yours",CEC-R
5000,I'll lower mine one,CEC-R
5000,k i did and its at 3.35,CEC-R
5000,"I had to up mine, it went down to 5 something once hawk changed",CEC-R
5000,so let me go up 1,CEC-R
5000,i went down to 330 ohms and am at 2.43,CEC-R
5000,I went down one and now I'm at 6.34,CEC-R
5000,i went up one and am at 2.92,CEC-R
5000,exactly lemme calculate for you guys,CEC-R
5000,i'm gonna drop mine a bit ad what happens,CEC-R
5000,i dropped mine to 100 and my voltage stayed the same,CEC-R
5000,i put it at the max resistance and nothing happened,CEC-R
5000,i went back to 7 v,CEC-R
5000,i just changed to maximum and no changes,CEC-R
5000,i went back down to 6.99 V,CEC-R
5000,I just set mine to 270 and its says 3.83,CEC-R
5000,ill read the setting then yall respond with your reading,CEC-R
5000,alright ill call em out,CEC-R
5000,sorry i was messing around and unplugged the green wire,CEC-R
5000,I set it to 180,CEC-R
5000,"okay, let me try some things",CEC-R
5000,OK WAIT I WANNA SEE SOMETHING,CEC-R
5000,I need to go down,CEC-R
5000,Im crunching numbers rn,CEC-R
5000,Im not sure. That is what im trying to do,CEC-R
5000,i got 4.5. I set the machine to 200 and changed the resistence to 220,CEC-R
5000,"ill put mine to 18, both of you put yours at 22",CEC-R
5000,ill choose 10,CEC-R
5000,i just put mine to 180,CEC-R
5000,i calculated the current,CEC-R
5000,im trying to figure out a total R but im havin trouble,CEC-R
5000,i cant get it there. theres a gap,CEC-R
5000,i dropped mine to 100 ohms,CEC-R
5000,when i put my multi meter across the two green wires (assuming that's the battery im getting 25),CEC-R
5000,ive set my resistor to 12 ohms,CEC-R
5000,I'm going to keep my resistor at 180 ohms,CEC-R
5000,"Ok, I'll stop",CEC-R
5000,going to 270 changes to 2.97,CEC-R
5000,im at 1.89 volts rn so im going to raise mine now,CEC-R
5000,if i change it o 220 it goes to 2.22,CEC-R
5000,- just changed to 2.72,CEC-R
5000,Red... could you try increasing yours and we will stay the same,CEC-R
5000,now mine is at 2.88 but i havent changed anything,CEC-R
5000,itll get us close and we can adjust from there,CEC-R
5000,going to jump up one,CEC-R
5000,im going to go back to 220 ohms,CEC-R
5000,"still need to go up alot, so im going to go up to 270",CEC-R
5000,going to up again since im the furthest,CEC-R
5000,Maybe blue could make big changes and we can adjust accordingly,CEC-R
5000,Setting my resistance to 820,CEC-R
5000,My resistor is at 820 ohms and my voltage meter reads 5.77 I can't get it down .10,CEC-R
5000,same i entered mine,CEC-R
5000,"okay, i've set my resistor to 180 ohms and now my voltage is 1.43",CEC-R
5000,I'm still trying to solve this,CEC-R
5000,"changed, 220 now",CEC-R
5000,i made my resistor 100 ohms and my drop is 1.94,CEC-R
5000,I did,CEC-R
5000,i did,CEC-R
5000,Just changed,CEC-R
5000,"I changed to 1 k, at 6.67",CEC-R
5000,17 Volts is E i just opened the circuit and measured across the open lol,CEC-R
5000,i did,CEC-R
5000,I have,CEC-R
5000,right now I'm going to keep mine at 1k,CEC-R
5000,ok let me change mine for a sec,CEC-R
5000,going to make it lower,CEC-R
5000,chose the resistor to match the given output voltage,CEC-R
5000,I put 33,CEC-R
5000,troubleshooting now,CEC-R
5000,im just plug and chug,CEC-R
5000,alright bumped up,CEC-R
5000,just bumped to 820,CEC-R
5000,i'm pressing it after resistor changes to see if we got it right yet,CEC-R
5000,just moved down,CEC-R
