,Text,Label
195,"I've just been lowering mine, I've hit 10 ohm",CEC-R
196,I raised mine up to 82 ohm,CEC-R
197,I dropped my resistance,CEC-R
198,im testing something,CEC-R
199,i raised my resistance,CEC-R
200,i have it entered,CEC-R
201,I am trying to spot match it,CEC-R
202,I'll drop mine and we'll what happens.,CEC-R
203,"Guitar, okay now I'll add mine in. 220 Ohms from me.",CEC-R
204,horn now just keep changing your resistance until you get to 4.25 V. It might work,CEC-R
205,I'll change mine to one setting lower.,CEC-R
206,Who's changing their resistor? I'm not touching mine.,CEC-R
207,i will,CEC-R
208,I changed mine to 3.9m Ohms and have 4.14 on mine.,CEC-R
209,i keep hovering between 1 and 4,CEC-R
210,Try changing it. I won't touch mine.,CEC-R
211,"Okay, I can't change it without it going out of bounds.",CEC-R
212,nevermind I got it,CEC-R
213,Not going to lie I'm just kind of playing guess and check with these resistor values,CEC-R
214,i changed mine to that,CEC-R
215,trying to figure out how to get e again,CEC-R
216,10.95 mA for current actually. needed to break the circuit,CEC-R
217,what i am going to do is break the circuit on my end and measure the current,CEC-R
218,i just put my circuit back together,CEC-R
219,alright ill keep mine together,CEC-R
220,ill keep mine together,CEC-R
221,okay no one touch anything and I will measure current,CEC-R
222,im going to leave mine at 560 ohms and 5.4 for now,CEC-R
223,okay so that gave me 398 but the closest resistance to choose from in 390 so i chose that and my meter is now reading 4.42,CEC-R
224,"ok aweseome, so now since lion got theres, i can get mine",CEC-R
225,hmm well i wont touch anything,CEC-R
226,so im going to use that as my current and change my resistance now and then i will tell you my voltage,CEC-R
227,already there,CEC-R
228,there,CEC-R
229,there,CEC-R
230,mines set,CEC-R
231,set,CEC-R
232,set,CEC-R
233,using 470??,CEC-R
234,let me try,CEC-R
235,using 330 ohms,CEC-R
236,3.86 at 390ohm gonna try back up to 470,CEC-R
237,i'll adjust next,CEC-R
238,ok ill change to 470,CEC-R
239,ok my next jump is to 560 which is 90 more who has the least jump in ohms,CEC-R
240,ill go up one resistor,CEC-R
241,i'll adjust,CEC-R
242,set,CEC-R
243,ok im going to adjust mine now 1 resistor at time,CEC-R
244,ill go up,CEC-R
245,I will,CEC-R
246,Okay I will try 390,CEC-R
247,okay so now i need to try to get my goal,CEC-R
248,1 sec I going to try to adjust mine I will try 270 then 390,CEC-R
249,I changed mine to 120 ohms and I'm close to 1.18 V: 1.12,CEC-R
250,okay let me try changing my resistance,CEC-R
251,ok I bump mine to 1k and really high now,CEC-R
252,Okay let me bump mine up,CEC-R
253,I need to raise mine,CEC-R
254,I was doing r/v=i which got me mixed up,CEC-R
255,That was me cuz i needed to to measure current. Our current is 10.18 millAmps,CEC-R
256,I tried: total R x I,CEC-R
257,okay stay there. next i'll increase mine,CEC-R
258,"just dropped to .77, let me try some others now",CEC-R
259,ok i changed to 560,CEC-R
260,i figured I based on my resistor and then calculated v on R0 using that.,CEC-R
261,i just plugged it back in,CEC-R
262,I calculated my resistance to be 390 ohms,CEC-R
263,I've connected mine,CEC-R
264,I'm doing the example he gave in class with 7R and 220 ohms etc,CEC-R
265,i changed the resistance to 180 Ohms on mine... dont know if yours is the same though,CEC-R
266,i changed mine to 560 ohms and now read 7.21 volts,CEC-R
267,I already did that several times. either way I go . Im too high or too low,CEC-R
268,I went low.,CEC-R
269,Ok. it changed mine too but not target goal,CEC-R
270,im going to 140. that was my too high,CEC-R
271,im doing the math from class today. almost done,CEC-R
272,okay so now i will try to change mine and see if yours changes to closer or further,CEC-R
273,im changing now to 220,CEC-R
274,i was trying to figure out how to arrange the resistors in my drowing,CEC-R
275,"give me a sec, ill calculate",CEC-R
276,I calculated the current for R1 to be 17.6mA,CEC-R
277,i used a 180 ohm resistor,CEC-R
278,that is what I calculated it should be around,CEC-R
279,i did 12- all of the other voltage drops we need,CEC-R
280,then divide that by 680,CEC-R
281,i changed mine to 100,CEC-R
282,It wont let me,CEC-R
283,I might've miss typed into the calc,CEC-R
284,I just added all those numbers together,CEC-R
285,I just added them...,CEC-R
286,doing that...,CEC-R
287,i entered 17v,CEC-R
288,i set my resistance to 150,CEC-R
289,i did,CEC-R
290,lol so i just stay,CEC-R
291,i need to lower my resistance and plum needs to increase resistance,CEC-R
292,um I found the voltage for R0 and then divided it by 330,CEC-R
293,Thats how i found the voltage^^,CEC-R
294,done,CEC-R
295,done,CEC-R
296,I entered the value for E,CEC-R
297,i did,CEC-R
298,ok i did 17-(3.76+2.09+9.48),CEC-R
299,i put it on the two wires and I'm at 2.62,CEC-R
300,i just disconnected mine,CEC-R
301,and put the reader on the two wires,CEC-R
302,done,CEC-R
303,i chose 330,CEC-R
304,i'll do it real quick,CEC-R
305,done,CEC-R
306,done,CEC-R
307,I fixed it,CEC-R
308,my bad i was just checking the current with the meter,CEC-R
309,alright i set mine to 470,CEC-R
310,"i set the resistance of mine to an arbirarily high value, so the other resistances will be insignificant",CEC-R
311,did that,CEC-R
312,i changed one band color to orange which was a lower number,CEC-R
313,ill go firsy,CEC-R
314,ok so me and dog move ohms down a bit,CEC-R
315,"it reset foe me, ill fix it",CEC-R
316,i can try changing mine,CEC-R
317,i left our RO,CEC-R
318,i just moved mine up and now im at 4.29,CEC-R
319,I haven't changed mine but now I'm at 1.38,CEC-R
320,here ill try,CEC-R
321,i can try going down one,CEC-R
322,i'll try,CEC-R
323,I went down to 120  ohms did that do anything,CEC-R
324,I went down to 1.49,CEC-R
325,ill do it,CEC-R
326,i went down one and now im at 3.95,CEC-R
327,same i clicked through the resistors to find one close to my goal but theres not one exact,CEC-R
328,that im changing the value of,CEC-R
329,let me change resistance,CEC-R
330,this is the closest i can get,CEC-R
331,let me do it again,CEC-R
332,i have  gone to a diifferent number to see if you lot can increase mine,CEC-R
333,im about to change,CEC-R
334,i changed my resistor to 270ohm,CEC-R
335,i increase mine to 470 and got a whole lot closer,CEC-R
336,increased my resistor,CEC-R
337,went back,CEC-R
338,gimmie a sec,CEC-R
339,dont ask me how was just messin around,CEC-R
340,i typed 17.47,CEC-R
341,i typed 17 V,CEC-R
342,idk what is right value but i am just trying to calculate it so that we have rough value,CEC-R
343,ight i went up one,CEC-R
344,I dont want to keep chanigng it if it's going to change others,CEC-R
345,I've been trying different numbers,CEC-R
346,Yeah i went up one when you went down,CEC-R
347,Ok I'm gonna give this a shot,CEC-R
348,i was adding 330 + my circuit + circuit 2 + circuit 3 for the total resistance,CEC-R
349,let me decrease mine,CEC-R
350,done,CEC-R
351,done,CEC-R
352,And I'll set it to 270,CEC-R
353,done,CEC-R
354,done my meter says 3.09,CEC-R
355,I disconnected my resistor from the board,CEC-R
356,no longer moving stuff,CEC-R
357,done,CEC-R
358,don,CEC-R
359,I need to go higher,CEC-R
360,Let me see.,CEC-R
361,done,CEC-R
362,Increased to 180 ohms and im sitting at 3.61V,CEC-R
363,I havent changed a thing,CEC-R
364,ah was left clicking,CEC-R
365,I literally did nothing for a solid 5 minutes,CEC-R
366,let me see if i can do addition,CEC-R
367,ill drop mine one down,CEC-R
368,im dropping,CEC-R
369,i went down so maybe go down with yours,CEC-R
370,try going up and well go down,CEC-R
371,i refreshed by accident,CEC-R
372,OK IM GONNA DECREASE MINE,CEC-R
373,im at 2.77 goin to 1.77,CEC-R
374,LET ME CHANGE MINE A LITTLE,CEC-R
375,cant go any higher,CEC-R
376,GONNA CHANGE MINE,CEC-R
377,i am,CEC-R
378,i am,CEC-R
379,im set,CEC-R
380,im going first,CEC-R
381,changed mine to 1k,CEC-R
382,just did,CEC-R
383,im good,CEC-R
384,there,CEC-R
385,just typing it,CEC-R
386,your lost i cant do shit,CEC-R
387,ive been trying the whole time and i cant get it to change,CEC-R
388,trying to calculate this shit,CEC-R
389,mines changed,CEC-R
390,i lowered mine to 120 cuz i was getting too hot,CEC-R
391,ok im going now,CEC-R
392,let me get some readings and ill do some math,CEC-R
393,ok ill try,CEC-R
394,i changed to 630r and im at 4.39 now,CEC-R
395,im gonna try the math,CEC-R
396,can you get any closer right now i just lowered my resistance,CEC-R
397,i opened the circuit,CEC-R
398,to measure current,CEC-R
399,closed again,CEC-R
400,ok ill adjust mine,CEC-R
401,ok plum adjust yours again,CEC-R
402,ok ill go again,CEC-R
403,let me try adjusting,CEC-R
404,ill try one more time,CEC-R
405,it brought mine to 4 something so i adjusted down one,CEC-R
406,im good,CEC-R
407,"so u guys can talk, ill just keep sending my value",CEC-R
408,ok ill try,CEC-R
409,ok ill try now,CEC-R
410,Got it i think. I just changed the resistor,CEC-R
411,i will change the resistor,CEC-R
412,ill take 680,CEC-R
413,thats what i have selected,CEC-R
414,Ima stay at 120,CEC-R
415,I moved upi to 150 and now im at 1.01 voly,CEC-R
416,I just switched the meter to amps,CEC-R
417,im going to 470,CEC-R
418,Because I took out my resistor and it read 15 volts,CEC-R
419,I'm leaving at 1k,CEC-R
420,Dropping mine from 560,CEC-R
421,I'll bump mine down one,CEC-R
422,i bump it up to 330 now,CEC-R
423,Bumping mine up one,CEC-R
424,i bump one down now,CEC-R
425,Bumping up,CEC-R
426,dropping to 8xxohm,CEC-R
427,Bumping down to 680,CEC-R
428,bumping back up,CEC-R
429,let me calculate,CEC-R
430,I did 3.78v/.0054870 and got 688.801Ohm,CEC-R
431,I did 3.97v (what the multimeter shows rn) divided by 390ohm (what the thing on the breadboard is rn),CEC-R
432,then divided my target voltage by .009718,CEC-R
433,moving mine from 390 to 330 puts me at 3.4,CEC-R
434,recalculated my current and it says my R should be 381ohm now,CEC-R
435,I'll go down one,CEC-R
436,I gotta go up,CEC-R
437,I didn't change,CEC-R
438,Gonna do 390,CEC-R
439,just did,CEC-R
440,im at 3.1 after i went up to 330ohms,CEC-R
441,dropping to 270 puts me back at 3.32,CEC-R
442,sorry i am calculating,CEC-R
443,let me calculate,CEC-R
444,I'm going back to 150,CEC-R
445,I'll just multiply it by 4,CEC-R
446,i rounded a few decimal places for reference,CEC-R
447,ok i'm locked in,CEC-R
448,well i tried a bunch of the usual; values for e and none worked,CEC-R
449,Set,CEC-R
450,done,CEC-R
451,okay im going to put my resistor up a notch,CEC-R
452,so let me put it at 270,CEC-R
453,done,CEC-R
454,i just went down from 220 to 180 and  our  voltage went down to 3.09,CEC-R
455,ill drop,CEC-R
456,i just dropped  to 150 and the voltmeter went to 2.95,CEC-R
457,so maynard and I have to increase  our r,CEC-R
458,just went to 220 and i am at 3.38,CEC-R
459,ok let me try again,CEC-R
460,ok just did that. my voltmeter now reads 7.50,CEC-R
462,set at 270,CEC-R
463,i entered it,CEC-R
464,i just set mine to max resistance and got 2.99,CEC-R
465,I just changed to 390 ohm,CEC-R
466,Am,CEC-R
467,changed mine,CEC-R
468,okay. let me change mine,CEC-R
469,done,CEC-R
470,i went down 1 and i'm at 3.5,CEC-R
471,im gonna go down one,CEC-R
472,im gonna do one more,CEC-R
473,done and 4.18,CEC-R
474,im going down 1,CEC-R
475,jk moving up 2,CEC-R
476,im gonna up 1,CEC-R
477,i went to 4.61 and then 4.88,CEC-R
478,done,CEC-R
479,i went up one and i'm reading 4.67,CEC-R
480,i'll go down,CEC-R
481,let me go up one more,CEC-R
482,done,CEC-R
483,i'll go up,CEC-R
484,went up 2 and i'm reading 5.47,CEC-R
485,i'm going down 1,CEC-R
486,done. i'm at 4.46,CEC-R
487,ill try going down i guess,CEC-R
488,done 4.28,CEC-R
489,i just increased to 120,CEC-R
490,i dropped to 1.63V,CEC-R
491,"k, I changed my resistance to 270 and now I'm at 2.93",CEC-R
492,done,CEC-R
493,am done,CEC-R
494,done,CEC-R
495,let me do that ok,CEC-R
496,i just tried 820 and it worked,CEC-R
497,LET ME TRY FIRST,CEC-R
498,waiting,CEC-R
499,okay done,CEC-R
500,Put mine on 120,CEC-R
501,let me try one more think,CEC-R
502,sorry i was trying to make a formula,CEC-R
503,alright im going to go down one notch,CEC-R
504,"it is, now its 3.09, gonna up it a bit",CEC-R
505,so blue's needs to go up. Green and i need to go down,CEC-R
506,ok i moved to 470 ohms,CEC-R
507,going down one more,CEC-R
508,bouta go down one more,CEC-R
509,So mine increased to 3.27,CEC-R
510,im going to try to increase my by one to see what happens,CEC-R
511,"ok, so you guys need to go up, i need to go down",CEC-R
512,let me move mine,CEC-R
513,i moved mine up one,CEC-R
514,i moved mine up,CEC-R
515,let me move mine real quick,CEC-R
516,ill go up one more,CEC-R
517,moved me down,CEC-R
518,im going up one,CEC-R
519,im going up one,CEC-R
520,i went up,CEC-R
521,moved up one,CEC-R
522,ill move up one now,CEC-R
523,im gonna try up 1,CEC-R
524,done,CEC-R
525,i went up one,CEC-R
526,i went down,CEC-R
527,ok i went down to 2.47,CEC-R
528,ok going up,CEC-R
529,i went up one,CEC-R
530,i went up 2,CEC-R
531,i went up,CEC-R
532,i went up,CEC-R
533,went back,CEC-R
534,imma go down one,CEC-R
535,ok so if i go down one you should go up,CEC-R
536,i went up,CEC-R
537,i went up one,CEC-R
538,ill go down one,CEC-R
539,hold on guys im doing the quick maths,CEC-R
540,I cant get close to 4.01,CEC-R
541,I can't change my resistor,CEC-R
542,I cant get close,CEC-R
543,keep yours the same. im going to go up one and down one,CEC-R
544,okay im going to move mine down towards 5.71. hang on,CEC-R
545,i am connected... just seeing what we go up to,CEC-R
546,im trying somemath here,CEC-R
547,mine wont move from zero,CEC-R
548,I'll see if moving mine will help. I'm at 470,CEC-R
549,I put mine on 390,CEC-R
550,I went to 390,CEC-R
551,i will go 470,CEC-R
552,changing one level up,CEC-R
553,i will try moving mine,CEC-R
554,ill go 390,CEC-R
555,I just went o 470,CEC-R
556,went back to 470,CEC-R
557,I moved mine up to 560,CEC-R
558,done,CEC-R
559,done,CEC-R
560,okat imma move mine up and see what happens cause im at 1.5,CEC-R
561,"i havent ,essed with mine im at 4.1 A and 1.8k",CEC-R
562,im leaving my resistance at 82. someone else leave theirs,CEC-R
563,i will leave mine at the same resistance,CEC-R
564,increase your resistance and us other two will adjust,CEC-R
565,I keep putting in,CEC-R
566,just changed mine to 680,CEC-R
567,just did,CEC-R
568,just did at 680 with 4.29,CEC-R
569,one sec ill adjust mine,CEC-R
570,i did 560 and got a voltage of 3,CEC-R
571,I set mine ot 330,CEC-R
572,Now 1.31 V but I did not change anything,CEC-R
573,I made mine 330 also,CEC-R
574,I'm summing up voltages now,CEC-R
575,I haven't changed anything yet so its' definitely me,CEC-R
576,I'm back where I started but I'm not changing anything till I get something on paper,CEC-R
577,i did and i still get nothing,CEC-R
578,I disconnected my resistor,CEC-R
579,didn't take leads out,CEC-R
580,i did,CEC-R
581,mine said 11.3 mA but now it says 0 and i didnt change anything,CEC-R
582,ive been doing that,CEC-R
583,But I just switched it to read voltage and its still at 0,CEC-R
584,i put my resistor at 100 just now,CEC-R
585,okay I'm changing my resistor from 680 to 270 so i can get closer to my goal,CEC-R
586,mine is higher now too. sleet keep yours the same. i'm gonna reduce my R by a little bit,CEC-R
587,i did that,CEC-R
588,let me try 680,CEC-R
589,i did and it says 3.24,CEC-R
590,I have no clue whats going on im just putting different resistances and hoping i get 7.16,CEC-R
591,"i did that too, not sure what to do with the number though",CEC-R
592,i need to go down,CEC-R
593,"at one point i had 1.05 with 27, so im going to leave mine",CEC-R
594,i hooked mine up and it says 4.34,CEC-R
595,i tried entering 14 and it was wrong,CEC-R
596,and i went down to 4.5,CEC-R
597,i did and im currently at .81,CEC-R
598,i just entered in my E starting from 1,CEC-R
599,I will,CEC-R
600,Has anyone found a value for I? Using E=IR I got I is 0.0255.,CEC-R
601,I selected the resistance given to me on the dropdown list but I'm getting 3.13V,CEC-R
602,I set my resistance to 39 ohms.,CEC-R
603,I was trying to think about the math...,CEC-R
604,me and hawk will chill until you get 2.5 V,CEC-R
605,okay. I'm gonna go up 1 level from where I am now,CEC-R
606,i went up to 120 ohms and 1.26 V,CEC-R
607,okay I went up a lot all the way to 270 ohms,CEC-R
608,i went down to 2.05 so I'm gonna go up 1 or two clicks,CEC-R
609,okay I did,CEC-R
610,i'm gonna go up one,CEC-R
611,i went up one and im now at 2.5,CEC-R
612,"I changed mine so im at 7.5 right now, change yours",CEC-R
613,I'll lower mine one,CEC-R
614,k i did and its at 3.35,CEC-R
615,"I had to up mine, it went down to 5 something once hawk changed",CEC-R
616,so let me go up 1,CEC-R
617,i went down to 330 ohms and am at 2.43,CEC-R
618,I went down one and now I'm at 6.34,CEC-R
619,i went up one and am at 2.92,CEC-R
620,exactly lemme calculate for you guys,CEC-R
621,i'm gonna drop mine a bit ad what happens,CEC-R
622,i dropped mine to 100 and my voltage stayed the same,CEC-R
623,i put it at the max resistance and nothing happened,CEC-R
624,i went back to 7 v,CEC-R
625,i just changed to maximum and no changes,CEC-R
626,i went back down to 6.99 V,CEC-R
627,I just set mine to 270 and its says 3.83,CEC-R
628,ill read the setting then yall respond with your reading,CEC-R
629,alright ill call em out,CEC-R
630,sorry i was messing around and unplugged the green wire,CEC-R
631,I set it to 180,CEC-R
632,"okay, let me try some things",CEC-R
633,OK WAIT I WANNA SEE SOMETHING,CEC-R
634,I need to go down,CEC-R
635,Im crunching numbers rn,CEC-R
636,Im not sure. That is what im trying to do,CEC-R
637,i got 4.5. I set the machine to 200 and changed the resistence to 220,CEC-R
638,"ill put mine to 18, both of you put yours at 22",CEC-R
639,ill choose 10,CEC-R
640,i just put mine to 180,CEC-R
641,i calculated the current,CEC-R
642,im trying to figure out a total R but im havin trouble,CEC-R
643,i cant get it there. theres a gap,CEC-R
644,i dropped mine to 100 ohms,CEC-R
645,when i put my multi meter across the two green wires (assuming that's the battery im getting 25),CEC-R
646,ive set my resistor to 12 ohms,CEC-R
647,I'm going to keep my resistor at 180 ohms,CEC-R
648,"Ok, I'll stop",CEC-R
649,going to 270 changes to 2.97,CEC-R
650,im at 1.89 volts rn so im going to raise mine now,CEC-R
651,if i change it o 220 it goes to 2.22,CEC-R
652,- just changed to 2.72,CEC-R
653,Red... could you try increasing yours and we will stay the same,CEC-R
654,now mine is at 2.88 but i havent changed anything,CEC-R
655,itll get us close and we can adjust from there,CEC-R
656,going to jump up one,CEC-R
657,im going to go back to 220 ohms,CEC-R
658,"still need to go up alot, so im going to go up to 270",CEC-R
659,going to up again since im the furthest,CEC-R
660,Maybe blue could make big changes and we can adjust accordingly,CEC-R
661,Setting my resistance to 820,CEC-R
662,My resistor is at 820 ohms and my voltage meter reads 5.77 I can't get it down .10,CEC-R
663,same i entered mine,CEC-R
664,"okay, i've set my resistor to 180 ohms and now my voltage is 1.43",CEC-R
665,I'm still trying to solve this,CEC-R
666,"changed, 220 now",CEC-R
667,i made my resistor 100 ohms and my drop is 1.94,CEC-R
668,I did,CEC-R
669,i did,CEC-R
670,Just changed,CEC-R
671,"I changed to 1 k, at 6.67",CEC-R
672,17 Volts is E i just opened the circuit and measured across the open lol,CEC-R
673,i did,CEC-R
674,I have,CEC-R
675,right now I'm going to keep mine at 1k,CEC-R
676,ok let me change mine for a sec,CEC-R
677,going to make it lower,CEC-R
678,chose the resistor to match the given output voltage,CEC-R
679,I put 33,CEC-R
680,troubleshooting now,CEC-R
681,im just plug and chug,CEC-R
682,alright bumped up,CEC-R
683,just bumped to 820,CEC-R
684,i'm pressing it after resistor changes to see if we got it right yet,CEC-R
685,just moved down,CEC-R
686,i'm calculating around 150 ohms,CEC-R
687,go for it,CEC-S
688,give me a sec,CEC-S
689,give me a sec I think i'm doing my math wrong,CEC-S
690,"Ohio, my apologies. I just looked at your circuit. Switch the probes back. the red probe should be on the left",CEC-S
691,refer to my circuit,CEC-S
692,click right,CEC-S
693,guys dont change any resistor values yet,CEC-S
694,one sec,CEC-S
695,check the current across your resistor in circuit 1,CEC-S
696,pause,CEC-S
697,okay JC go ahead and make urs 2.75,CEC-S
698,and lmk when it is,CEC-S
699,KEEP IT THERE,CEC-S
700,mashed go first to make urs 2.74,CEC-S
701,can u go to 150 rq,CEC-S
702,hold up,CEC-S
703,change it,CEC-S
704,drop urs down,CEC-S
705,Lion go one volt higher,CEC-S
706,tiger go one down,CEC-S
707,now hold up,CEC-S
708,1000 bear,CEC-S
709,multiply ur volt by 164,CEC-S
710,lion change ur thing,CEC-S
711,tiger go one down,CEC-S
712,one up tiger,CEC-S
713,go down lion,CEC-S
714,flip your leads,CEC-S
715,change eagle lower your resistance a little,CEC-S
716,hold up,CEC-S
717,aight hold up,CEC-S
718,aight. hold up,CEC-S
719,hold up,CEC-S
720,aight. hold up,CEC-S
721,"okay blue, lead the way",CEC-S
722,one sec,CEC-S
723,"peach, put the ends of your resistor in the wholes",CEC-S
724,Peach you should be measuring voltage,CEC-S
725,plum move yours to 150 as well,CEC-S
726,STOP,CEC-S
727,Wrench drop your resistance,CEC-S
